Rank,Club,Country,Level,Elo,From,To
1,Arsenal,ENG,1,2049.85546875,2026-04-16,2026-04-19
2,Bayern,GER,1,2020.93640137,2026-04-16,2026-04-19
3,Paris SG,FRA,1,1973.97595215,2026-04-15,2026-04-19
4,Barcelona,ESP,1,1972.5345459,2026-04-16,2026-04-22
5,Man City,ENG,1,1952.98376465,2026-04-16,2026-04-19
6,Real Madrid,ESP,1,1925.98571777,2026-04-16,2026-04-21
7,Liverpool,ENG,1,1914.78527832,2026-04-16,2026-04-19
8,Inter,ITA,1,1894.91027832,2026-04-13,2026-04-17
9,Aston Villa,ENG,1,1887.2878418,2026-04-17,2026-04-19
10,Man United,ENG,1,1868.84130859,2026-04-16,2026-04-18
11,Sporting,POR,1,1866.9161377,2026-04-16,2026-04-19
12,Atletico,ESP,1,1862.0098877,2026-04-16,2026-04-22
13,Chelsea,ENG,1,1856.92443848,2026-04-16,2026-04-18
14,Brighton,ENG,1,1850.4119873,2026-04-16,2026-04-18
15,Dortmund,GER,1,1845.94995117,2026-04-16,2026-04-18
16,Bournemouth,ENG,1,1836.5345459,2026-04-16,2026-04-18
17,Everton,ENG,1,1832.19482422,2026-04-16,2026-04-19
18,Newcastle,ENG,1,1832.00695801,2026-04-16,2026-04-18
19,Brentford,ENG,1,1831.18981934,2026-04-16,2026-04-18
20,Leverkusen,GER,1,1828.11315918,2026-04-16,2026-04-18
21,Benfica,POR,1,1816.85107422,2026-04-16,2026-04-19
22,Porto,POR,1,1808.77990723,2026-04-17,2026-04-19
23,Crystal Palace,ENG,1,1808.65332031,2026-04-17,2026-04-20
24,Napoli,ITA,1,1797.83776855,2026-04-15,2026-04-18
25,Fulham,ENG,1,1795.08947754,2026-04-16,2026-04-18
26,Juventus,ITA,1,1791.66296387,2026-04-15,2026-04-19
27,Forest,ENG,1,1788.96313477,2026-04-17,2026-04-19
28,Atalanta,ITA,1,1785.54418945,2026-04-12,2026-04-18
29,Milan,ITA,1,1781.1784668,2026-04-12,2026-04-19
30,RB Leipzig,GER,1,1776.65930176,2026-04-16,2026-04-18
31,Leeds,ENG,1,1776.54125977,2026-04-16,2026-04-18
32,Stuttgart,GER,1,1767.1854248,2026-04-16,2026-04-19
33,Villarreal,ESP,1,1765.92883301,2026-04-16,2026-04-23
34,Roma,ITA,1,1760.30712891,2026-04-13,2026-04-18
35,Lille,FRA,1,1753.45166016,2026-04-15,2026-04-18
36,West Ham,ENG,1,1752.77587891,2026-04-16,2026-04-20
37,PSV,NED,1,1751.23132324,2026-04-16,2026-04-23
38,Betis,ESP,1,1751.22485352,2026-04-17,2026-04-21
39,Como,ITA,1,1747.95324707,2026-04-13,2026-04-17
40,Lens,FRA,1,1745.7364502,2026-04-15,2026-04-17
41,Tottenham,ENG,1,1744.43786621,2026-04-16,2026-04-18
42,Marseille,FRA,1,1732.82055664,2026-04-15,2026-04-18
43,St Gillis,BEL,1,1731.5970459,2026-04-15,2026-04-19
44,Monaco,FRA,1,1730.30749512,2026-04-15,2026-04-19
45,Brugge,BEL,1,1729.94702148,2026-04-15,2026-04-19
46,Bodoe Glimt,NOR,1,1729.52062988,2026-04-16,2026-04-18
